appid,name,type,release_date,required_age,developers,publishers,genres,price,metacritic_score,recommendations,achievements,year,owners_estimate,players_forever,average_playtime,median_playtime,tags,positive_reviews,negative_reviews,release_date_parsed
1012510,Greenland Melting,game,"18 Mar, 2019",0,"Emblematic Group, X-Rez Studio, Realtra","Frontline, NOVA",Education,0.0,,,0,2019,"0 .. 20,000",,0,0,"Education, VR",22,0,2019-03-18
273620,Freespace 2,game,"6 Jun, 2014",0,Volition Inc,Interplay Corp,Action,22.0,91.0,299.0,0,2014,"20,000 .. 50,000",,8,9,"Space, Sci-fi, Action, Simulation, Classic",240,65,2014-06-06
225160,Shadow Warrior Classic Redux,game,"8 Jul, 2013",0,General Arcade,Devolver Digital,Action,10.0,,2890.0,0,2013,"200,000 .. 500,000",,276,76,"FPS, Classic, Action, Retro, Shooter",3110,342,2013-07-08
724750,Robot's Mystery,game,"29 Nov, 2017",0,"Tomer Caner, Nitay Parnes",Indie,"Adventure, Indie",4.25,,,0,2017,"0 .. 20,000",,0,0,"Adventure, Indie",1,0,2017-11-29
801210,Spellsword Cards: Demontide,game,"7 Mar, 2019",0,One Up Plus Entertainment,One Up Plus Entertainment,Indie,6.5,,,0,2019,"20,000 .. 50,000",,0,0,"Roguelike Deckbuilder, Indie, Card Game, Strategy, Adventure",52,29,2019-03-07
869060,Resort Boss: Golf,game,"25 Jul, 2019",0,Gus Martin,Excalibur Publishing,"Indie, Simulation, Sports, Strategy",13.0,,,0,2019,"20,000 .. 50,000",,122,150,"Golf, City Builder, Management, Sandbox, Strategy",57,92,2019-07-25
759940,前程似锦 Excellent Expectations,game,"21 Dec, 2017",0,内购人生PABL,内购人生PABL,Indie,3.25,,852.0,0,2017,"20,000 .. 50,000",,48,48,"Indie, Dark Humor, Puzzle, Singleplayer, Detective",818,133,2017-12-21
856300,Disc Golf VR,game,"28 May, 2018",0,William W,William W,"Casual, Free To Play, Indie, Simulation, Sports, Strategy, Early Access",0.0,,,0,2018,"0 .. 20,000",,0,0,"Free to Play, Indie, Casual, Simulation, Sports",13,7,2018-05-28
1063330,麻神消消乐,game,"19 May, 2019",0,MiaoXi Studio,MiaoXi Studio,"Casual, Free To Play, Indie, Racing, Simulation, Sports, Strategy",0.0,,,0,2019,"0 .. 20,000",,0,0,"Indie, Casual, Strategy, Free to Play, Simulation",5,6,2019-05-19
545180,Muffled Warfare - Echolocation Shooter,game,"27 Apr, 2018",0,Gattai Games,Gattai Games,"Action, Indie, Simulation, Early Access",10.0,,,0,2018,"0 .. 20,000",,0,0,"Indie, Action, Early Access, Shooter, Multiplayer",89,15,2018-04-27
301560,White Night,game,"3 Mar, 2015",0,OSome Studio,Plug In Digital,Adventure,14.5,68.0,287.0,0,2015,"20,000 .. 50,000",,259,351,"Adventure, Horror, Noir, Puzzle, Singleplayer",281,99,2015-03-03
761700,Your Diary +,game,"10 Aug, 2018",0,Cube,Hyper'sthene,"Adventure, Indie",22.0,,282.0,0,2018,"0 .. 20,000",,2816,5614,"Adventure, Indie, Visual Novel, Anime, Cute",254,42,2018-08-10
603340,Demon Blade VR,game,"14 Sep, 2017",0,Monkeys Crowd Entertainment,Monkeys Crowd Entertainment,"Violent, Gore, Action, Adventure, Indie",6.5,,,0,2017,"0 .. 20,000",,0,0,"Action, Adventure, Indie, Gore, Violent",1,1,2017-09-14
659500,A Mining Game,game,"20 Jul, 2019",0,"Atlas, Daz",Trillium Studio Ltd.,"Free To Play, Indie, Simulation, Early Access",0.0,,,0,2019,"50,000 .. 100,000",,0,0,"Free to Play, Indie, Simulation, Early Access, Mining",151,77,2019-07-20
817150,Factory pirates,game,"24 Aug, 2018",0,WhackAKey Games,Conglomerate 5,"Action, Casual, Indie, Strategy",1.1,,,0,2018,"0 .. 20,000",,0,0,"Pirates, Sandbox, Action, Action-Adventure, Shooter",8,9,2018-08-24
826660,Rosette and Words,game,"16 Apr, 2018",0,SmallBigSquare,SmallBigSquare,"Casual, Indie",5.25,,,0,2018,"0 .. 20,000",,0,0,"Indie, Casual, Relaxing, Puzzle, Great Soundtrack",18,7,2018-04-16
663920,Died Of Fear,game,"7 Jul, 2017",0,,Type B Negative,"Adventure, Casual, Indie",0.0,,,0,2017,"20,000 .. 50,000",,0,0,"Adventure, Casual, Indie, 2D, Side Scroller",24,15,2017-07-07
1121120,Smooth Mover,game,"14 Sep, 2019",0,BlurryBit,BlurryBit,"Action, Indie",0.0,,,0,2019,"0 .. 20,000",,0,0,"Action, Indie, Arcade, 2D",3,1,2019-09-14
359630,Independence War® 2: Edge of Chaos,game,"7 May, 2015",0,Particle Systems Ltd.,"Atari, Infogrames","Action, Simulation",6.5,83.0,,0,2015,"0 .. 20,000",,0,0,"Action, Simulation, Space Sim, Space",63,21,2015-05-07
312280,Simply Chess,game,"11 Sep, 2015",0,BlueLine Games,BlueLine Games,"Casual, Free To Play, Indie, Strategy",0.0,,,0,2015,"500,000 .. 1,000,000",,124,50,"Chess, Board Game, Multiplayer, Strategy, Free to Play",2692,934,2015-09-11
706370,LOGistICAL: USA - Oregon,game,"19 Sep, 2017",0,Sacada,Sacada,"Casual, Indie, Strategy",4.5,,,0,2017,"0 .. 20,000",,0,0,"Strategy, Indie, Casual, Education, Puzzle",11,1,2017-09-19
1062120,Peas Adventure,game,"18 Apr, 2019",0,Artur Rezende,Artur Rezende,"Casual, Indie",1.1,,,0,2019,"0 .. 20,000",,0,0,"Puzzle-Platformer, Nature, Adventure, Fantasy, 2D Platformer",9,4,2019-04-18
929010,Swag and Sorcery,game,"9 May, 2019",0,"Lazy Bear Games, Uroboros Games",tinyBuild,"Adventure, Indie, RPG, Simulation, Strategy",13.0,51.0,2299.0,0,2019,"500,000 .. 1,000,000",,497,434,"Pixel Graphics, RPG, Management, Singleplayer, Indie",1728,1460,2019-05-09
514520,Sparky's Hunt,game,"18 Aug, 2016",0,Luke Cripps,Fellowplayer,Indie,1.25,,,0,2016,"0 .. 20,000",,79,79,"Indie, Horror",5,2,2016-08-18
1089660,Queen's Quest 5: Symphony of Death,game,"18 Jul, 2019",0,Brave Giant LTD,Artifex Mundi,"Adventure, Casual",3.62,,102.0,0,2019,"20,000 .. 50,000",,171,171,"Adventure, Casual, Hidden Object, Fantasy, 2D",109,32,2019-07-18
836470,Mage Fort,game,"10 May, 2018",0,Fuzzy Code Studio LLC,Fuzzy Code Studio LLC,"Action, Indie, Strategy",3.25,,,0,2018,"0 .. 20,000",,117,117,"Action, Tower Defense, Indie, Controller, Local Co-Op",6,4,2018-05-10
329690,BasketBelle,game,"9 Dec, 2014",0,Studio Bean,Studio Bean,"Adventure, Indie, Sports",5.25,,,0,2014,"0 .. 20,000",,218,324,"Indie, Sports, Adventure, Platformer, Singleplayer",137,24,2014-12-09
